District,Price_Volatility,Average_Max_Temp,Average_Min_Temp,Average_Rainfall,Average_WindSpeed,Cluster,Average_Crisis_Score,Maximum_Crisis_Score,High_Critical_Events,Total_Records,Average_Price,Average_Arrival,High_Critical_%,District_Risk_Score,District_Risk_Level
Ahmednagar,1352.6698225677585,30.749926389400077,20.085553919764443,2.783051159366949,17.51174089068826,0,20.61,93.33,220,5434,2552.74,5378.56,4.05,13.99,Low
Chhatrapati Sambhajinagar,1352.6698225677585,30.896117040853884,20.80071770334928,2.8658262789841737,16.18536989326463,0,7.86,43.33,0,5434,2552.74,5378.56,0.0,4.72,Low
Jalgaon,1352.6698225677585,32.85233713654766,22.168494663231503,3.5806956201693043,15.533364004416637,1,9.24,43.33,0,5434,2552.74,5378.56,0.0,5.54,Low
Kolhapur,1352.6698225677585,30.643503864556493,20.560195068089804,3.550846521899153,18.317280088332723,0,8.56,43.33,0,5434,2552.74,5378.56,0.0,5.14,Low
Nagpur,1352.6698225677585,32.717997791682,21.9735001840265,4.072359219727641,13.828174457121824,1,12.43,58.33,0,5434,2552.74,5378.56,0.0,7.46,Low
Nashik,1352.6698225677585,30.40207949944792,19.746926757453075,2.8570666175929333,17.372764078027238,0,14.01,58.33,0,5434,2552.74,5378.56,0.0,8.41,Low
Pune,1352.6698225677585,30.98424733161575,20.27546926757453,3.1520242914979755,17.082499079867503,0,15.07,58.33,0,5434,2552.74,5378.56,0.0,9.04,Low
Sangli,1352.6698225677585,31.62046374677954,20.886455649613545,3.0221751932278247,17.485774751564225,0,8.85,43.33,0,5434,2552.74,5378.56,0.0,5.31,Low
Satara,1352.6698225677585,30.5486013986014,19.57200956937799,2.8817261685682736,14.723224144276776,0,7.89,43.33,0,5434,2552.74,5378.56,0.0,4.74,Low
Solapur,1352.6698225677585,32.87997791682002,22.620942215679054,3.559863820390136,19.189492086860508,1,14.26,65.0,4,5434,2552.74,5378.56,0.07,8.59,Low
