Commodity,Forecast_Average_Price,Forecast_Min_Price,Forecast_Max_Price,Forecast_First_Price,Forecast_Last_Price,Forecast_Change_pct,Forecast_Range_pct,Forecast_Days,Average_Crisis_Score,High_Critical_Events,Forecast_Volatility_Score,Farmer_Intelligence_Score,Final_Risk_Level,District,Cluster,District_Risk_Score,District_Risk_Level,Recommendation,Recommended_Action
Onion,1495.08,1361.54,1614.54,1614.54,1484.87,-8.03,18.58,30,12.35,23,12.92,17.66,Low,Ahmednagar,0,13.99,Low,"Stable forecast conditions - monitor market prices, supply conditions, and weather before making a decision.",MONITOR MARKET
Onion,1534.7,1373.48,1665.59,1616.31,1602.18,-0.87,21.27,30,12.35,23,15.79,18.52,Low,Chhatrapati Sambhajinagar,0,4.72,Low,"Stable forecast conditions - monitor market prices, supply conditions, and weather before making a decision.",MONITOR MARKET
Onion,1495.54,1361.66,1614.67,1614.67,1484.99,-8.03,18.58,30,12.35,23,12.94,17.67,Low,Jalgaon,1,5.54,Low,"Stable forecast conditions - monitor market prices, supply conditions, and weather before making a decision.",MONITOR MARKET
Onion,1450.96,1313.22,1611.78,1611.78,1441.57,-10.56,22.73,30,12.35,23,15.86,18.54,Low,Kolhapur,0,5.14,Low,Price decline expected over the forecast period - consider selling gradually while monitoring market conditions.,SELL GRADUALLY
Onion,1452.16,1282.98,1611.51,1611.51,1468.86,-8.85,25.61,30,12.35,23,16.69,18.79,Low,Nagpur,1,7.46,Low,"Stable forecast conditions - monitor market prices, supply conditions, and weather before making a decision.",MONITOR MARKET
Onion,1495.08,1361.54,1614.54,1614.54,1484.87,-8.03,18.58,30,12.35,23,12.92,17.66,Low,Nashik,0,8.41,Low,"Stable forecast conditions - monitor market prices, supply conditions, and weather before making a decision.",MONITOR MARKET
Onion,1494.89,1361.0,1614.54,1614.54,1484.33,-8.06,18.63,30,12.35,23,12.94,17.67,Low,Pune,0,9.04,Low,"Stable forecast conditions - monitor market prices, supply conditions, and weather before making a decision.",MONITOR MARKET
Onion,1434.49,1264.81,1607.32,1607.32,1435.52,-10.69,27.08,30,12.35,23,17.74,19.11,Low,Sangli,0,5.31,Low,Price decline expected over the forecast period - consider selling gradually while monitoring market conditions.,SELL GRADUALLY
Onion,1426.29,1279.3,1607.01,1607.01,1353.21,-15.79,25.62,30,12.35,23,17.11,18.92,Low,Satara,0,4.74,Low,Price decline expected over the forecast period - consider selling gradually while monitoring market conditions.,SELL GRADUALLY
Onion,1553.48,1438.55,1669.29,1621.27,1636.26,0.92,16.04,30,12.35,23,13.61,17.87,Low,Solapur,1,8.59,Low,"Stable forecast conditions - monitor market prices, supply conditions, and weather before making a decision.",MONITOR MARKET
