Commodity,Forecast_Average_Price,Forecast_Min_Price,Forecast_Max_Price,Forecast_Change_pct,Forecast_Volatility_Score,Average_Crisis_Score,High_Critical_Events,Farmer_Intelligence_Score,Final_Risk_Level,District,Cluster,District_Risk_Score,District_Risk_Level,Best_Forecasted_District,Best_District_Forecast_Average,Recommendation,Recommended_Action
Onion,1483.27,1264.81,1669.29,1.35,17.76,12.35,23,19.11,Low,Ahmednagar,0,13.99,Low,Solapur,1553.4793333333332,"Stable conditions - monitor mandi prices, supply conditions, and weather before making a decision.",MONITOR MARKET
Onion,1483.27,1264.81,1669.29,1.35,17.76,12.35,23,19.11,Low,Chhatrapati Sambhajinagar,0,4.72,Low,Solapur,1553.4793333333332,"Stable conditions - monitor mandi prices, supply conditions, and weather before making a decision.",MONITOR MARKET
Onion,1483.27,1264.81,1669.29,1.35,17.76,12.35,23,19.11,Low,Jalgaon,1,5.54,Low,Solapur,1553.4793333333332,"Stable conditions - monitor mandi prices, supply conditions, and weather before making a decision.",MONITOR MARKET
Onion,1483.27,1264.81,1669.29,1.35,17.76,12.35,23,19.11,Low,Kolhapur,0,5.14,Low,Solapur,1553.4793333333332,"Stable conditions - monitor mandi prices, supply conditions, and weather before making a decision.",MONITOR MARKET
Onion,1483.27,1264.81,1669.29,1.35,17.76,12.35,23,19.11,Low,Nagpur,1,7.46,Low,Solapur,1553.4793333333332,"Stable conditions - monitor mandi prices, supply conditions, and weather before making a decision.",MONITOR MARKET
Onion,1483.27,1264.81,1669.29,1.35,17.76,12.35,23,19.11,Low,Nashik,0,8.41,Low,Solapur,1553.4793333333332,"Stable conditions - monitor mandi prices, supply conditions, and weather before making a decision.",MONITOR MARKET
Onion,1483.27,1264.81,1669.29,1.35,17.76,12.35,23,19.11,Low,Pune,0,9.04,Low,Solapur,1553.4793333333332,"Stable conditions - monitor mandi prices, supply conditions, and weather before making a decision.",MONITOR MARKET
Onion,1483.27,1264.81,1669.29,1.35,17.76,12.35,23,19.11,Low,Sangli,0,5.31,Low,Solapur,1553.4793333333332,"Stable conditions - monitor mandi prices, supply conditions, and weather before making a decision.",MONITOR MARKET
Onion,1483.27,1264.81,1669.29,1.35,17.76,12.35,23,19.11,Low,Satara,0,4.74,Low,Solapur,1553.4793333333332,"Stable conditions - monitor mandi prices, supply conditions, and weather before making a decision.",MONITOR MARKET
Onion,1483.27,1264.81,1669.29,1.35,17.76,12.35,23,19.11,Low,Solapur,1,8.59,Low,Solapur,1553.4793333333332,"Stable conditions - monitor mandi prices, supply conditions, and weather before making a decision.",MONITOR MARKET
Potato,1233.49,960.73,1540.66,27.68,35.29,10.15,17,21.19,Low,Ahmednagar,0,13.99,Low,Kolhapur,1244.3246666666666,Positive price trend expected - consider holding part of the stock if storage is available.,CONSIDER HOLDING
Potato,1233.49,960.73,1540.66,27.68,35.29,10.15,17,21.19,Low,Chhatrapati Sambhajinagar,0,4.72,Low,Kolhapur,1244.3246666666666,Positive price trend expected - consider holding part of the stock if storage is available.,CONSIDER HOLDING
Potato,1233.49,960.73,1540.66,27.68,35.29,10.15,17,21.19,Low,Jalgaon,1,5.54,Low,Kolhapur,1244.3246666666666,Positive price trend expected - consider holding part of the stock if storage is available.,CONSIDER HOLDING
Potato,1233.49,960.73,1540.66,27.68,35.29,10.15,17,21.19,Low,Kolhapur,0,5.14,Low,Kolhapur,1244.3246666666666,Positive price trend expected - consider holding part of the stock if storage is available.,CONSIDER HOLDING
Potato,1233.49,960.73,1540.66,27.68,35.29,10.15,17,21.19,Low,Nagpur,1,7.46,Low,Kolhapur,1244.3246666666666,Positive price trend expected - consider holding part of the stock if storage is available.,CONSIDER HOLDING
Potato,1233.49,960.73,1540.66,27.68,35.29,10.15,17,21.19,Low,Nashik,0,8.41,Low,Kolhapur,1244.3246666666666,Positive price trend expected - consider holding part of the stock if storage is available.,CONSIDER HOLDING
Potato,1233.49,960.73,1540.66,27.68,35.29,10.15,17,21.19,Low,Pune,0,9.04,Low,Kolhapur,1244.3246666666666,Positive price trend expected - consider holding part of the stock if storage is available.,CONSIDER HOLDING
Potato,1233.49,960.73,1540.66,27.68,35.29,10.15,17,21.19,Low,Sangli,0,5.31,Low,Kolhapur,1244.3246666666666,Positive price trend expected - consider holding part of the stock if storage is available.,CONSIDER HOLDING
Potato,1233.49,960.73,1540.66,27.68,35.29,10.15,17,21.19,Low,Satara,0,4.74,Low,Kolhapur,1244.3246666666666,Positive price trend expected - consider holding part of the stock if storage is available.,CONSIDER HOLDING
Potato,1233.49,960.73,1540.66,27.68,35.29,10.15,17,21.19,Low,Solapur,1,8.59,Low,Kolhapur,1244.3246666666666,Positive price trend expected - consider holding part of the stock if storage is available.,CONSIDER HOLDING
Rice,4254.69,3335.45,4944.64,25.83,100.0,13.03,63,59.44,High,Ahmednagar,0,13.99,Low,Chhatrapati Sambhajinagar,4269.585,High commodity risk - avoid selling the entire stock at once and monitor price and supply conditions.,MONITOR MARKET
Rice,4254.69,3335.45,4944.64,25.83,100.0,13.03,63,59.44,High,Chhatrapati Sambhajinagar,0,4.72,Low,Chhatrapati Sambhajinagar,4269.585,High commodity risk - avoid selling the entire stock at once and monitor price and supply conditions.,MONITOR MARKET
Rice,4254.69,3335.45,4944.64,25.83,100.0,13.03,63,59.44,High,Jalgaon,1,5.54,Low,Chhatrapati Sambhajinagar,4269.585,High commodity risk - avoid selling the entire stock at once and monitor price and supply conditions.,MONITOR MARKET
Rice,4254.69,3335.45,4944.64,25.83,100.0,13.03,63,59.44,High,Kolhapur,0,5.14,Low,Chhatrapati Sambhajinagar,4269.585,High commodity risk - avoid selling the entire stock at once and monitor price and supply conditions.,MONITOR MARKET
Rice,4254.69,3335.45,4944.64,25.83,100.0,13.03,63,59.44,High,Nagpur,1,7.46,Low,Chhatrapati Sambhajinagar,4269.585,High commodity risk - avoid selling the entire stock at once and monitor price and supply conditions.,MONITOR MARKET
Rice,4254.69,3335.45,4944.64,25.83,100.0,13.03,63,59.44,High,Nashik,0,8.41,Low,Chhatrapati Sambhajinagar,4269.585,High commodity risk - avoid selling the entire stock at once and monitor price and supply conditions.,MONITOR MARKET
Rice,4254.69,3335.45,4944.64,25.83,100.0,13.03,63,59.44,High,Pune,0,9.04,Low,Chhatrapati Sambhajinagar,4269.585,High commodity risk - avoid selling the entire stock at once and monitor price and supply conditions.,MONITOR MARKET
Rice,4254.69,3335.45,4944.64,25.83,100.0,13.03,63,59.44,High,Sangli,0,5.31,Low,Chhatrapati Sambhajinagar,4269.585,High commodity risk - avoid selling the entire stock at once and monitor price and supply conditions.,MONITOR MARKET
Rice,4254.69,3335.45,4944.64,25.83,100.0,13.03,63,59.44,High,Satara,0,4.74,Low,Chhatrapati Sambhajinagar,4269.585,High commodity risk - avoid selling the entire stock at once and monitor price and supply conditions.,MONITOR MARKET
Rice,4254.69,3335.45,4944.64,25.83,100.0,13.03,63,59.44,High,Solapur,1,8.59,Low,Chhatrapati Sambhajinagar,4269.585,High commodity risk - avoid selling the entire stock at once and monitor price and supply conditions.,MONITOR MARKET
Tomato,3505.09,3191.08,3672.63,6.67,24.18,10.38,43,27.94,Moderate,Ahmednagar,0,13.99,Low,Solapur,3554.9826666666663,"Stable conditions - monitor mandi prices, supply conditions, and weather before making a decision.",MONITOR MARKET
Tomato,3505.09,3191.08,3672.63,6.67,24.18,10.38,43,27.94,Moderate,Chhatrapati Sambhajinagar,0,4.72,Low,Solapur,3554.9826666666663,"Stable conditions - monitor mandi prices, supply conditions, and weather before making a decision.",MONITOR MARKET
Tomato,3505.09,3191.08,3672.63,6.67,24.18,10.38,43,27.94,Moderate,Jalgaon,1,5.54,Low,Solapur,3554.9826666666663,"Stable conditions - monitor mandi prices, supply conditions, and weather before making a decision.",MONITOR MARKET
Tomato,3505.09,3191.08,3672.63,6.67,24.18,10.38,43,27.94,Moderate,Kolhapur,0,5.14,Low,Solapur,3554.9826666666663,"Stable conditions - monitor mandi prices, supply conditions, and weather before making a decision.",MONITOR MARKET
Tomato,3505.09,3191.08,3672.63,6.67,24.18,10.38,43,27.94,Moderate,Nagpur,1,7.46,Low,Solapur,3554.9826666666663,"Stable conditions - monitor mandi prices, supply conditions, and weather before making a decision.",MONITOR MARKET
Tomato,3505.09,3191.08,3672.63,6.67,24.18,10.38,43,27.94,Moderate,Nashik,0,8.41,Low,Solapur,3554.9826666666663,"Stable conditions - monitor mandi prices, supply conditions, and weather before making a decision.",MONITOR MARKET
Tomato,3505.09,3191.08,3672.63,6.67,24.18,10.38,43,27.94,Moderate,Pune,0,9.04,Low,Solapur,3554.9826666666663,"Stable conditions - monitor mandi prices, supply conditions, and weather before making a decision.",MONITOR MARKET
Tomato,3505.09,3191.08,3672.63,6.67,24.18,10.38,43,27.94,Moderate,Sangli,0,5.31,Low,Solapur,3554.9826666666663,"Stable conditions - monitor mandi prices, supply conditions, and weather before making a decision.",MONITOR MARKET
Tomato,3505.09,3191.08,3672.63,6.67,24.18,10.38,43,27.94,Moderate,Satara,0,4.74,Low,Solapur,3554.9826666666663,"Stable conditions - monitor mandi prices, supply conditions, and weather before making a decision.",MONITOR MARKET
Tomato,3505.09,3191.08,3672.63,6.67,24.18,10.38,43,27.94,Moderate,Solapur,1,8.59,Low,Solapur,3554.9826666666663,"Stable conditions - monitor mandi prices, supply conditions, and weather before making a decision.",MONITOR MARKET
Wheat,3674.44,3182.86,4229.27,18.64,41.76,13.5,78,47.93,Moderate,Ahmednagar,0,13.99,Low,Solapur,3802.045,Positive price trend expected - consider holding part of the stock if storage is available.,CONSIDER HOLDING
Wheat,3674.44,3182.86,4229.27,18.64,41.76,13.5,78,47.93,Moderate,Chhatrapati Sambhajinagar,0,4.72,Low,Solapur,3802.045,Positive price trend expected - consider holding part of the stock if storage is available.,CONSIDER HOLDING
Wheat,3674.44,3182.86,4229.27,18.64,41.76,13.5,78,47.93,Moderate,Jalgaon,1,5.54,Low,Solapur,3802.045,Positive price trend expected - consider holding part of the stock if storage is available.,CONSIDER HOLDING
Wheat,3674.44,3182.86,4229.27,18.64,41.76,13.5,78,47.93,Moderate,Kolhapur,0,5.14,Low,Solapur,3802.045,Positive price trend expected - consider holding part of the stock if storage is available.,CONSIDER HOLDING
Wheat,3674.44,3182.86,4229.27,18.64,41.76,13.5,78,47.93,Moderate,Nagpur,1,7.46,Low,Solapur,3802.045,Positive price trend expected - consider holding part of the stock if storage is available.,CONSIDER HOLDING
Wheat,3674.44,3182.86,4229.27,18.64,41.76,13.5,78,47.93,Moderate,Nashik,0,8.41,Low,Solapur,3802.045,Positive price trend expected - consider holding part of the stock if storage is available.,CONSIDER HOLDING
Wheat,3674.44,3182.86,4229.27,18.64,41.76,13.5,78,47.93,Moderate,Pune,0,9.04,Low,Solapur,3802.045,Positive price trend expected - consider holding part of the stock if storage is available.,CONSIDER HOLDING
Wheat,3674.44,3182.86,4229.27,18.64,41.76,13.5,78,47.93,Moderate,Sangli,0,5.31,Low,Solapur,3802.045,Positive price trend expected - consider holding part of the stock if storage is available.,CONSIDER HOLDING
Wheat,3674.44,3182.86,4229.27,18.64,41.76,13.5,78,47.93,Moderate,Satara,0,4.74,Low,Solapur,3802.045,Positive price trend expected - consider holding part of the stock if storage is available.,CONSIDER HOLDING
Wheat,3674.44,3182.86,4229.27,18.64,41.76,13.5,78,47.93,Moderate,Solapur,1,8.59,Low,Solapur,3802.045,Positive price trend expected - consider holding part of the stock if storage is available.,CONSIDER HOLDING
