Date,Commodity,District,Predicted_Price
2026-08-14,Onion,Ahmednagar,1614.54
2026-08-15,Onion,Ahmednagar,1546.19
2026-08-16,Onion,Ahmednagar,1498.09
2026-08-17,Onion,Ahmednagar,1534.16
2026-08-18,Onion,Ahmednagar,1545.77
2026-08-19,Onion,Ahmednagar,1535.01
2026-08-20,Onion,Ahmednagar,1527.04
2026-08-21,Onion,Ahmednagar,1528.9
2026-08-22,Onion,Ahmednagar,1469.15
2026-08-23,Onion,Ahmednagar,1464.49
2026-08-24,Onion,Ahmednagar,1505.06
2026-08-25,Onion,Ahmednagar,1511.73
2026-08-26,Onion,Ahmednagar,1504.23
2026-08-27,Onion,Ahmednagar,1453.08
2026-08-28,Onion,Ahmednagar,1428.49
2026-08-29,Onion,Ahmednagar,1366.87
2026-08-30,Onion,Ahmednagar,1361.54
2026-08-31,Onion,Ahmednagar,1366.39
2026-09-01,Onion,Ahmednagar,1426.71
2026-09-02,Onion,Ahmednagar,1474.03
2026-09-03,Onion,Ahmednagar,1491.46
2026-09-04,Onion,Ahmednagar,1521.74
2026-09-05,Onion,Ahmednagar,1480.33
2026-09-06,Onion,Ahmednagar,1475.06
2026-09-07,Onion,Ahmednagar,1553.74
2026-09-08,Onion,Ahmednagar,1551.86
2026-09-09,Onion,Ahmednagar,1541.8
2026-09-10,Onion,Ahmednagar,1549.96
2026-09-11,Onion,Ahmednagar,1540.1
2026-09-12,Onion,Ahmednagar,1484.87
2026-08-14,Onion,Chhatrapati Sambhajinagar,1616.31
2026-08-15,Onion,Chhatrapati Sambhajinagar,1547.95
2026-08-16,Onion,Chhatrapati Sambhajinagar,1499.85
2026-08-17,Onion,Chhatrapati Sambhajinagar,1535.21
2026-08-18,Onion,Chhatrapati Sambhajinagar,1547.85
2026-08-19,Onion,Chhatrapati Sambhajinagar,1537.1
2026-08-20,Onion,Chhatrapati Sambhajinagar,1529.12
2026-08-21,Onion,Chhatrapati Sambhajinagar,1530.67
2026-08-22,Onion,Chhatrapati Sambhajinagar,1470.92
2026-08-23,Onion,Chhatrapati Sambhajinagar,1466.26
2026-08-24,Onion,Chhatrapati Sambhajinagar,1506.11
2026-08-25,Onion,Chhatrapati Sambhajinagar,1524.6
2026-08-26,Onion,Chhatrapati Sambhajinagar,1506.32
2026-08-27,Onion,Chhatrapati Sambhajinagar,1485.83
2026-08-28,Onion,Chhatrapati Sambhajinagar,1453.18
2026-08-29,Onion,Chhatrapati Sambhajinagar,1373.48
2026-08-30,Onion,Chhatrapati Sambhajinagar,1385.83
2026-08-31,Onion,Chhatrapati Sambhajinagar,1433.63
2026-09-01,Onion,Chhatrapati Sambhajinagar,1525.62
2026-09-02,Onion,Chhatrapati Sambhajinagar,1534.2
2026-09-03,Onion,Chhatrapati Sambhajinagar,1572.56
2026-09-04,Onion,Chhatrapati Sambhajinagar,1596.23
2026-09-05,Onion,Chhatrapati Sambhajinagar,1534.15
2026-09-06,Onion,Chhatrapati Sambhajinagar,1521.34
2026-09-07,Onion,Chhatrapati Sambhajinagar,1598.16
2026-09-08,Onion,Chhatrapati Sambhajinagar,1628.08
2026-09-09,Onion,Chhatrapati Sambhajinagar,1649.68
2026-09-10,Onion,Chhatrapati Sambhajinagar,1662.91
2026-09-11,Onion,Chhatrapati Sambhajinagar,1665.59
2026-09-12,Onion,Chhatrapati Sambhajinagar,1602.18
2026-08-14,Onion,Jalgaon,1614.67
2026-08-15,Onion,Jalgaon,1546.31
2026-08-16,Onion,Jalgaon,1498.21
